F1_CL,F2_CL,F3_CL,F1_CD,F2_CD,F3_CD
0,0,0,76,61,42
0,0,0,84,7,7
0,0,0,81,37,0
0,0,0,73,93,19
0,0,0,64,76,79
0,0,0,57,83,79
0,0,0,55,88,55
0,0,0,85,88,45
0,0,0,84,93,59
0,0,0,89,63,62
0,0,0,77,81,57
0,0,0,87,82,83
0,0,0,80,86,61
0,0,0,85,77,64
0,0,0,82,84,65
0,0,0,84,29,32
0,0,0,78,40,0
0,0,0,83,81,0
0,0,0,86,77,0
0,0,0,88,57,0
0,0,0,88,85,0
0,0,0,81,78,0
0,0,0,85,84,14
0,0,0,73,87,55
0,0,0,81,86,37
0,0,0,81,64,35
0,0,0,80,60,13
0,0,0,80,91,29
0,0,0,87,81,13
0,0,0,85,89,19
0,0,0,44,76,63
0,0,0,35,67,76
0,0,0,21,67,66
0,0,0,12,77,49
0,0,0,67,78,21
0,0,0,76,89,0
0,0,0,85,91,0
0,0,0,70,88,0
0,0,0,68,81,28
0,0,0,7,88,50
0,0,0,51,89,0
0,0,0,27,90,7
0,0,0,10,87,28
0,0,0,24,88,0
0,0,0,56,81,16
0,0,0,32,87,27
0,0,0,56,78,49
0,0,0,65,87,32
0,0,0,11,85,55
0,0,0,0,90,26
0,0,0,5,92,26
0,0,0,6,90,61
0,0,0,76,86,34
0,0,0,53,76,67
0,0,0,56,92,26
0,0,0,79,86,38
0,0,0,86,85,42
0,0,0,71,81,70
0,0,0,85,86,62
0,0,0,59,80,52
0,0,0,66,87,0
0,0,0,81,80,0
0,0,0,80,75,0
0,0,0,84,82,0
0,0,0,83,76,29
0,0,0,79,92,0
0,0,0,71,94,0
0,0,0,56,90,0
0,0,0,65,84,21
0,0,0,84,90,0
0,0,0,88,88,0
0,0,0,82,86,0
0,0,0,89,82,44
0,0,0,81,86,48
0,0,0,84,81,35
0,0,0,74,68,15
0,0,0,79,81,0
0,0,0,85,77,0
0,0,0,75,54,18
0,0,0,83,85,3
0,0,0,87,89,44
0,0,0,47,93,16
0,0,0,68,90,0
0,0,0,76,81,22
0,0,0,85,85,42
0,0,0,87,91,54
0,0,0,67,73,71
0,0,0,62,90,79
0,0,0,25,80,19
0,0,0,9,89,85
0,0,0,5,87,75
0,0,0,66,91,28
0,0,0,78,87,36
0,0,0,86,85,5
0,0,0,91,79,74
0,0,0,82,81,41
0,0,0,54,81,41
0,0,0,75,63,45
0,0,0,85,68,13
0,0,0,69,81,0
0,0,0,62,68,0
0,0,0,72,70,0
0,0,0,75,69,0
0,0,0,81,72,0
0,0,0,88,74,61
0,0,0,83,91,41
0,0,0,83,93,60
0,0,0,82,85,20
0,0,0,88,72,47
0,0,0,76,81,27
0,0,0,86,54,60
0,0,0,84,14,32
0,0,0,53,77,0
0,0,0,40,87,0
0,0,0,41,91,0
0,0,0,56,78,0
0,0,0,44,83,0
0,0,0,78,88,0
0,0,0,77,81,41
0,0,0,67,88,12
0,0,0,80,82,0
0,0,0,91,59,0
0,0,0,48,75,0
0,0,0,82,76,0
0,0,0,89,83,0
0,0,0,86,88,0
0,0,0,85,74,0
0,0,0,75,50,0
0,0,0,79,73,0
0,0,0,90,64,0
0,0,0,88,78,0
0,0,0,87,67,0
0,0,0,71,29,0
0,0,0,80,39,0
0,0,0,36,54,0
0,0,0,46,74,0
0,0,0,49,40,0
0,0,0,3,84,0
0,0,0,5,96,21
0,0,0,47,90,54
0,0,0,33,86,70
0,0,0,36,77,60
0,0,0,59,84,51
0,0,0,74,73,29
0,0,0,53,75,33
0,0,0,83,60,18
0,0,0,81,69,22
0,0,0,51,68,0
0,0,0,61,80,14
0,0,0,64,90,18
0,0,0,28,89,64
0,0,0,29,93,0
0,0,0,60,84,15
0,0,0,35,94,2
0,0,0,69,91,0
0,0,0,86,80,33
0,0,0,84,81,43
0,0,0,89,82,14
0,0,0,84,85,0
0,0,0,79,77,46
0,0,0,5,79,67
0,0,0,9,88,36
0,0,0,29,92,38
0,0,0,72,86,66
0,0,0,39,92,70
0,0,0,35,85,22
0,0,0,72,86,40
0,0,0,40,79,12
0,0,0,4,74,0
0,0,0,8,60,0
0,0,0,31,50,0
0,0,0,80,3,0
0,0,0,80,75,0
0,0,0,81,87,0
0,0,0,72,75,0
0,0,0,57,81,0
0,0,0,26,84,26
0,0,0,20,88,0
0,0,0,36,71,42
0,0,0,45,63,40
0,0,0,42,90,5
0,0,0,66,80,67
0,0,0,17,88,0
0,0,0,13,82,0
0,0,0,0,93,0
0,0,0,47,97,0
0,0,0,29,90,0
0,0,0,36,88,15
0,0,0,1,78,16
0,0,0,5,57,54
0,0,0,64,4,64
0,0,0,78,0,67
0,0,0,61,37,57
0,0,0,72,74,79
0,0,0,53,79,81
0,0,0,47,80,72
0,0,0,70,70,66
0,0,0,35,93,64
0,20,0,17,87,66
0,41,0,61,82,61
0,46,0,46,89,74
0,0,0,79,82,69
0,0,0,43,77,69
0,0,0,72,80,78
0,0,0,85,78,50
