CL_f2_feb,CL_f3_feb,CL_notes_feb,CL_f1_aug,CL_notes_aug,CD_f2_aug,CD_f1_aug,CD_notes_aug,CD_f3_sept,CD_notes_sept
0,0,lights on ,0,lights on ,72,70,lights off,32,lights on
0,0,lights on ,0,lights on ,89,79,lights off,20,lights on
0,0,lights on ,0,lights on ,87,79,lights off,57,lights on
0,0,lights on ,0,lights on ,88,68,lights off,9,lights on
0,0,lights on ,0,lights on ,87,76,lights off,58,lights on
0,0,lights on ,0,lights on ,60,72,lights off,64,lights on
0,3,lights on ,0,lights on ,70,77,lights off,80,lights on
0,8,lights on ,0,lights on ,83,76,lights off,81,lights on
0,0,lights on ,0,lights on ,83,84,lights off,33,lights on
0,0,lights on ,0,lights on ,87,86,lights off,39,lights on
0,0,lights on ,0,lights on ,92,97,lights off,82,lights on
0,0,lights on ,4,lights on ,81,90,lights off,61,lights on
0,3,lights on ,14,lights on ,85,84,lights off,55,lights on
0,4,lights on ,3,lights on ,81,79,lights off,72,lights on
0,1,lights on ,0,lights on ,60,86,lights off,90,lights on
0,0,lights on ,0,lights on ,69,84,lights off,62,lights on
0,0,lights on ,0,lights on ,86,74,lights off,48,lights on
0,0,lights on ,0,lights on ,77,83,lights off,86,lights on
0,0,lights on ,0,lights on ,71,85,lights off,80,lights on
0,0,lights on ,22,lights on ,77,89,lights off,49,lights on
5,0,lights on ,13,lights on ,75,85,lights off,59,lights on
0,0,lights on ,28,lights on ,2,75,lights off,58,lights on
0,0,lights on ,18,lights on ,0,90,lights off,42,lights on
0,0,lights on ,12,lights on ,6,90,lights off,63,lights on
0,0,lights on ,2,lights on ,24,85,lights off,60,lights on
0,0,lights on ,0,lights on ,57,90,lights off,43,lights on
0,8,lights on ,0,lights on ,17,79,lights off,71,lights on
0,0,lights on ,20,lights on ,8,79,lights off,34,lights on
0,0,lights on ,0,lights on ,12,93,lights off,25,lights on
0,0,lights on ,0,lights on ,44,87,lights off,0,lights on
0,0,lights on ,0,lights on ,79,85,lights off,22,lights on
0,0,lights on ,0,lights on ,77,87,lights off,0,lights on
0,0,lights on ,0,lights on ,59,98,lights off,0,lights on
0,0,lights on ,0,lights on ,72,84,lights off,0,lights on
0,0,lights on ,0,lights on ,78,92,lights off,45,lights on
0,0,lights on ,0,lights on ,76,79,lights off,57,lights on
0,0,lights on ,0,lights on ,85,63,lights off,42,lights on
0,0,lights on ,0,lights on ,83,45,lights off,56,lights on
0,0,lights on ,0,lights on ,84,80,lights off,35,lights on
0,0,lights on ,0,lights on ,41,84,lights off,17,lights on
0,0,lights on ,0,lights on ,25,82,lights off,25,lights on
0,0,lights on ,0,lights on ,58,95,lights off,49,lights on
0,0,lights on ,0,lights on ,53,92,lights off,37,lights on
0,0,lights on ,0,lights on ,85,87,lights off,59,lights on
0,0,lights on ,0,lights on ,85,87,lights off,60,lights on
0,0,lights on ,11,lights on ,81,90,lights off,72,lights on
0,0,lights on ,0,lights on ,47,96,lights off,53,lights on
0,0,lights on ,0,lights on ,76,94,lights off,73,lights on
0,0,lights on ,0,lights on ,79,86,lights off,43,lights on
0,0,lights on ,0,lights on ,85,79,lights off,37,lights on
0,0,lights on ,0,lights on ,80,89,lights off,64,lights on
0,0,lights on ,0,lights on ,88,84,lights off,46,lights on
0,0,lights on ,0,lights on ,85,90,lights off,65,lights on
0,0,lights on ,0,lights on ,89,86,lights off,40,lights on
0,0,lights on ,0,lights on ,66,84,lights off,51,lights on
0,0,lights on ,0,lights on ,83,79,lights off,0,lights on
0,0,lights on ,0,lights on ,82,83,lights off,50,lights on
0,0,lights on ,0,lights on ,92,81,lights off,69,lights on
0,0,lights on ,0,lights on ,88,72,lights off,81,lights on
0,0,lights on ,63,lights on ,91,86,lights off,77,lights on
0,0,lights on ,38,lights on ,83,91,lights off,92,lights on
0,0,lights on ,28,lights on ,87,83,lights off,80,lights on
0,0,lights on ,46,lights on ,76,91,lights off,61,lights on
0,0,lights on ,0,lights on ,86,78,lights off,80,lights on
0,0,lights on ,0,lights on ,82,86,lights off,58,lights on
0,0,lights on ,0,lights on ,88,83,lights off,50,lights on
0,0,lights on ,0,lights on ,72,84,lights off,75,lights on
0,0,lights on ,0,lights on ,74,85,lights off,14,lights on
0,0,lights on ,0,lights on ,87,79,lights off,40,lights on
0,0,lights on ,0,lights on ,78,86,lights off,50,lights on
0,0,lights on ,0,lights on ,75,83,lights off,35,lights on
0,0,lights on ,0,lights on ,76,93,lights off,79,lights on
0,0,lights on ,0,lights on ,73,93,lights off,88,lights on
0,0,lights on ,3,lights on ,71,89,lights off,57,lights on
0,0,lights on ,6,lights on ,74,92,lights off,72,lights on
0,0,lights on ,0,lights on ,92,69,lights off,55,lights on
0,0,lights on ,0,lights on ,85,77,lights off,51,lights on
0,0,lights on ,0,lights on ,74,26,lights off,54,lights on
0,0,lights on ,0,lights on ,48,55,lights off,43,lights on
0,0,lights on ,0,lights on ,10,65,lights off,86,lights on
0,0,lights on ,0,lights on ,43,61,lights off,78,lights on
0,0,lights on ,0,lights on ,82,87,lights off,66,lights on
0,0,lights on ,38,lights on ,70,88,lights off,72,lights on
0,0,lights on ,39,lights on ,61,91,lights off,31,lights on
0,0,lights on ,27,lights on ,77,88,lights off,75,lights on
0,0,lights on ,21,lights on ,79,92,lights off,80,lights on
0,0,lights on ,27,lights on ,92,73,lights off,51,lights on
0,0,lights on ,36,lights on ,90,96,lights off,63,lights on
0,0,lights on ,30,lights on ,82,96,lights off,53,lights on
0,0,lights on ,0,lights on ,75,84,lights off,79,lights on
0,0,lights on ,0,lights on ,92,70,lights off,64,lights on
0,0,lights on ,7,lights on ,86,56,lights off,79,lights on
0,0,lights on ,5,lights on ,88,63,lights off,70,lights on
0,0,lights on ,0,lights on ,85,69,lights off,54,lights on
0,0,lights on ,0,lights on ,81,92,lights off,67,lights on
0,0,lights on ,0,lights on ,40,91,lights off,66,lights on
0,0,lights on ,0,lights on ,41,92,lights off,15,lights on
0,0,lights on ,0,lights on ,58,88,lights off,51,lights on
0,0,lights on ,6,lights on ,29,89,lights off,57,lights on
0,0,lights on ,0,lights on ,29,58,lights off,42,lights on
0,0,lights on ,0,lights on ,36,70,lights off,80,lights on
0,0,lights on ,0,lights on ,88,67,lights off,70,lights on
0,0,lights on ,0,lights on ,76,86,lights off,39,lights on
0,0,lights on ,0,lights on ,87,86,lights off,62,lights on
0,0,lights on ,25,lights on ,93,85,lights off,51,lights on
0,0,lights on ,11,lights on ,88,81,lights off,60,lights on
0,0,lights on ,0,lights on ,77,78,lights off,58,lights on
0,0,lights on ,0,lights on ,75,87,lights off,47,lights on
0,0,lights on ,0,lights on ,65,52,lights off,45,lights on
0,0,lights on ,0,lights on ,48,60,lights off,43,lights on
0,0,lights on ,0,lights on ,66,71,lights off,71,lights on
0,0,lights on ,0,lights on ,89,79,lights off,74,lights on
0,0,lights on ,0,lights on ,83,52,lights off,53,lights on
0,0,lights on ,0,lights on ,82,72,lights off,68,lights on
0,0,lights on ,0,lights on ,81,32,lights off,83,lights on
0,0,lights on ,0,lights on ,80,82,lights off,73,lights on
0,0,lights on ,0,lights on ,86,89,lights off,35,lights on
0,0,lights on ,0,lights on ,72,78,lights off,28,lights on
14,0,lights on ,0,lights on ,82,87,lights off,59,lights on
9,0,lights on ,0,lights on ,88,82,lights off,58,lights on
0,0,lights on ,0,lights on ,87,75,lights off,47,lights on
0,0,lights on ,0,lights on ,79,83,lights off,52,lights on
0,0,lights on ,0,lights on ,77,90,lights off,61,lights on
0,0,lights on ,0,lights on ,83,89,lights off,56,lights on
0,0,lights on ,0,lights on ,79,92,lights off,29,lights on
0,0,lights on ,0,lights on ,85,87,lights off,63,lights on
0,0,lights on ,0,lights on ,81,93,lights off,81,lights on
0,0,lights on ,0,lights on ,76,87,lights off,58,lights on
0,0,lights on ,0,lights on ,79,78,lights off,59,lights on
0,0,lights on ,0,lights on ,85,86,lights off,57,lights on
0,0,lights on ,0,lights on ,89,86,lights off,56,lights on
0,0,lights on ,0,lights on ,91,89,lights off,50,lights on
0,0,lights on ,0,lights on ,83,90,lights off,84,lights on
0,0,lights on ,0,lights on ,88,90,lights off,86,lights on
0,0,lights on ,0,lights on ,78,89,lights off,92,lights on
0,0,lights on ,0,lights on ,82,93,lights off,77,lights on
0,0,lights on ,0,lights on ,82,85,lights off,76,lights on
0,0,lights on ,0,lights on ,84,79,lights off,79,lights on
0,0,lights on ,0,lights on ,88,89,lights off,70,lights on
0,0,lights on ,0,lights on ,81,89,lights off,65,lights on
0,0,lights on ,0,lights on ,76,93,lights off,47,lights on
0,0,lights on ,0,lights on ,81,85,lights off,57,lights on
0,0,lights on ,0,lights on ,92,88,lights off,59,lights on
0,0,lights on ,0,lights on ,84,87,lights off,81,lights on
0,0,lights on ,0,lights on ,84,65,lights off,85,lights on
0,0,lights on ,0,lights on ,80,73,lights off,90,lights on
0,0,lights on ,0,lights on ,87,39,lights off,68,lights on
0,13,lights on ,0,lights on ,84,72,lights off,69,lights on
0,24,lights on ,0,lights on ,84,37,lights off,69,lights on
0,0,lights on ,0,lights on ,91,0,lights off,78,lights on
0,0,lights on ,0,lights on ,76,49,lights off,84,lights on
0,0,lights on ,0,lights on ,75,0,lights off,81,lights on
