X,CL_CON_4179,CL_HFD_4113,CD_CON_4045,CD_HFD_4277
170,-16.29883,-4.217241,-8.650902,-14.93802
171,-16.93842,-4.478667,-9.332573,-15.33127
172,-18.55151,-5.012869,-10.6131,-16.33764
173,-20.88973,-5.644085,-12.66205,-18.41749
174,-23.49722,-6.735548,-14.51629,-21.66427
175,-26.13985,-8.011486,-16.76748,-24.97594
176,-28.53796,-9.781085,-19.35799,-27.78049
177,-30.31528,-11.10906,-21.63616,-29.52662
178,-31.75787,-12.51466,-23.40311,-30.7045
179,-32.09068,-13.4855,-24.72292,-30.73865
180,-31.56828,-14.15176,-24.84439,-30.21882
181,-30.52823,-14.56775,-24.4635,-28.41013
182,-28.38239,-14.31497,-22.88959,-25.89545
183,-25.79664,-13.48811,-21.2159,-22.87396
184,-22.21332,-12.35215,-18.70758,-19.29346
185,-18.50367,-10.74347,-15.77055,-15.74136
186,-15.11434,-9.216028,-13.06457,-12.46732
187,-11.92286,-7.751779,-9.7674,-9.013354
188,-7.742831,-5.981825,-6.944838,-4.244714
189,-0.7602411,-5.008338,-4.240458,3.150094
190,9.409266,-3.752857,-2.150253,11.80571
191,19.92379,-1.944249,0.1738525,20.73093
192,25.85987,0.7123329,4.224828,30.79212
193,32.10718,4.002275,10.83922,40.98152
194,41.17418,8.783706,19.77294,50.39947
195,48.72836,14.14116,28.21618,57.52301
196,56.20975,19.39015,35.37739,62.96982
197,62.86331,23.1444,39.47383,67.07343
198,69.39573,25.92412,44.09826,69.89615
199,76.32866,28.48994,48.9366,72.77888
200,81.41814,31.59132,53.44485,75.32693
201,84.58234,34.33776,57.12087,76.72572
202,84.8863,37.75631,61.86332,77.96944
203,83.93332,42.23099,67.88266,78.69988
204,82.1718,46.46128,74.3938,79.73323
205,80.4263,51.12926,80.8866,80.5171
206,79.6244,55.86368,85.69263,81.72678
207,79.10214,60.54822,88.93251,83.11969
208,77.79066,64.61225,91.31514,84.01614
209,76.07536,67.87838,92.40043,82.57433
210,72.84971,70.82887,93.27877,79.84668
211,68.25153,73.19444,92.12965,75.0176
212,62.00739,74.48562,90.16082,68.3007
213,55.86052,73.83271,86.44978,60.97435
214,49.82003,72.42417,81.41151,53.46498
215,44.93162,68.79739,75.27945,47.59354
216,40.41993,64.50354,68.56055,42.34571
217,36.59169,59.29802,62.02597,38.71195
218,32.90554,53.7136,56.14024,36.88443
219,30.30698,48.10368,50.74256,35.87418
220,28.5118,42.87249,46.59203,35.55169
221,27.61867,38.21865,42.75428,36.24975
222,26.9424,33.7426,40.0834,35.352
223,25.45933,30.10271,37.98138,33.74953
224,23.40834,26.9353,36.79797,31.56492
225,20.071,24.13055,35.7356,29.03729
226,17.51066,22.13561,35.33756,26.65073
227,15.25487,20.7879,34.72032,23.84912
228,13.51223,20.21139,33.71644,20.33956
229,12.00825,18.88113,32.53757,17.18716
230,11.66131,18.77235,31.26353,15.31719
231,12.37007,17.99775,29.6536,14.71196
232,12.50762,16.89089,27.69928,14.74401
233,12.80884,15.98437,25.58453,15.03248
234,14.40474,14.60987,23.04343,15.29532
235,14.87385,13.34285,21.29592,15.10832
236,14.53018,11.97677,20.65662,13.81572
237,13.16404,11.03348,20.42388,12.31983
238,10.13332,10.20696,20.34795,10.37499
239,6.332346,9.637609,20.49508,7.887653
240,2.351819,9.359158,20.19545,4.82596
241,-1.730693,9.27867,19.55776,2.689524
242,-4.996439,9.629045,18.55643,2.17558
243,-6.585294,10.01534,16.89586,2.293929
244,-6.023367,10.33639,15.318,2.711787
245,-4.170825,10.20429,13.27383,3.164354
246,-0.5308971,10.53858,11.82646,4.019745
247,2.12135,9.888928,10.46647,4.339944
248,3.434924,9.528647,8.843305,3.605723
249,2.695735,8.349585,7.22794,2.101568
250,0.2730886,6.955245,5.636541,7.25E-02
251,-2.915637,5.893943,4.982629,-2.035035
252,-7.207972,4.547297,4.8304,-3.592006
253,-10.73095,3.513684,6.178039,-5.413759
254,-13.08354,2.748108,8.136799,-6.749122
255,-14.95212,2.610476,10.24942,-8.482508
256,-16.13475,2.735377,10.99153,-9.559824
257,-16.93303,3.087924,10.68056,-9.651314
258,-16.8983,2.830049,9.658636,-9.426623
259,-16.35495,2.919814,8.054761,-8.921242
260,-15.37562,2.941875,6.230725,-8.329903
261,-14.41725,2.415675,4.275,-7.70723
262,-13.18395,1.767305,2.443067,-8.213
263,-12.85109,0.9599687,0.7605411,-8.046082
264,-13.76347,-0.4510952,-0.3471999,-8.239322
265,-15.08371,-1.772739,-1.35051,-8.052023
266,-16.72957,-2.472433,-2.100102,-8.853549
267,-18.17817,-3.450772,-3.129234,-9.246634
268,-18.85185,-3.536051,-4.15155,-9.516554
269,-19.18415,-3.93323,-4.999985,-8.843115
270,-17.36348,-4.624721,-5.222426,-8.086817
271,-15.59985,-5.059717,-5.593733,-6.966363
272,-14.09557,-5.131103,-5.940179,-6.730074
273,-12.7131,-5.285741,-6.167116,-6.454739
274,-11.64812,-4.730101,-6.559303,-6.726466
275,-10.93567,-4.57235,-6.919892,-6.641333
276,-9.915613,-4.339402,-6.860034,-6.895137
277,-9.813303,-4.291614,-6.913387,-7.208355
278,-9.998481,-4.274284,-6.985827,-7.512763
279,-11.20881,-4.83917,-6.334878,-7.597319
280,-12.34978,-5.00515,-5.383528,-7.855484
281,-12.79499,-5.609032,-4.152105,-7.617164
282,-13.35328,-6.151917,-3.18978,-8.141623
283,-12.50652,-6.008946,-3.035177,-8.93945
284,-11.22341,-5.584397,-2.803103,-9.59236
285,-10.62515,-4.72019,-3.208084,-9.812682
286,-10.16763,-4.326321,-3.217627,-10.34037
287,-10.12198,-3.766768,-3.102941,-11.02473
288,-11.00406,-3.346442,-3.333707,-12.20663
289,-12.62272,-2.942666,-3.243181,-13.59033
290,-14.61441,-2.698817,-2.773789,-14.87008
291,-16.11828,-2.709912,-2.661207,-15.44057
292,-17.63777,-3.068183,-2.26557,-15.001
293,-18.33924,-3.442754,-1.775955,-14.49739
294,-18.95983,-3.749269,-1.590969,-14.86726
295,-18.98707,-3.881299,-1.754138,-14.62419
296,-18.58893,-3.638453,-2.220662,-14.03114
297,-17.73175,-3.842293,-2.863399,-13.55707
298,-16.67283,-3.526805,-3.524032,-13.3173
299,-15.0966,-3.84998,-4.495596,-13.38097
300,-13.77629,-4.107335,-6.029603,-13.82506
301,-13.06,-4.370703,-7.230031,-13.90592
302,-12.96095,-4.556069,-8.541324,-14.13787
303,-13.39281,-4.866812,-9.108674,-13.881
304,-13.74162,-5.131973,-9.299396,-13.75453
305,-14.5844,-5.46915,-9.262729,-13.05194
306,-15.32395,-5.401906,-9.136637,-12.72259
307,-15.85168,-5.814932,-9.321374,-11.69036
308,-15.43534,-6.375442,-9.557087,-11.88517
309,-15.70833,-6.497195,-9.311807,-12.31846
310,-16.13835,-7.346066,-9.157964,-13.30147
311,-15.46302,-7.687952,-9.27331,-14.28795
312,-15.74558,-8.506668,-9.49673,-15.15497
313,-16.01289,-8.292665,-9.238,-15.52606
314,-15.8,-7.65808,-9.141356,-16.23233
315,-15.55754,-6.810388,-8.826981,-16.37452
316,-15.96521,-6.987483,-8.842879,-16.67955
317,-16.76157,-6.95004,-8.792198,-16.24316
318,-17.72814,-6.572253,-8.340992,-15.20789
319,-19.07688,-6.621913,-8.125701,-14.44252
320,-18.81065,-6.587967,-8.16797,-14.06948
321,-18.37624,-6.722593,-7.893867,-13.87241
322,-17.76623,-6.880419,-8.099443,-14.1343
323,-16.50346,-7.275452,-7.997259,-14.06853
324,-16.09855,-7.086938,-8.314627,-14.75208
325,-15.70866,-7.20282,-8.46746,-14.9776
326,-15.30998,-7.081566,-9.558822,-14.78244
327,-15.14964,-7.382902,-10.19127,-14.8497
328,-15.18845,-7.347431,-10.59793,-14.42475
329,-14.258,-7.415854,-8.710855,-12.02114
330,-14.51301,-6.55504,-8.91943,-11.96622
331,-14.28529,-5.998322,-9.396906,-11.06106
332,-14.813,-6.010548,-9.629801,-11.01568
333,-15.22908,-6.10231,-10.2748,-11.07723
334,-16.38352,-6.782139,-10.90172,-11.8111
335,-17.70972,-7.173154,-12.00175,-13.06723
336,-18.60912,-8.207309,-12.42866,-14.70979
337,-19.65952,-9.112446,-13.84182,-17.60999
338,-21.86891,-10.35713,-15.51265,-20.44156
339,-24.55405,-11.48289,-17.60078,-23.21801
340,-27.26476,-12.88273,-20.38197,-25.59815
341,-29.95213,-14.21718,-22.55472,-27.86409
342,-31.76644,-15.85534,-24.24124,-28.68776
343,-32.10972,-17.03512,-25.55311,-28.57409
344,-31.08783,-17.60889,-25.94424,-28.28691
345,-28.97131,-18.41549,-25.59529,-26.60091
346,-26.23325,-18.47901,-24.40787,-24.32258
347,-22.97109,-17.73561,-22.33582,-21.5195
348,-19.0908,-16.70077,-19.87497,-18.00615
349,-16.32614,-15.77201,-16.65207,-14.81192
350,-12.76105,-14.52267,-13.47871,-11.75059
351,-9.642616,-12.99524,-10.31106,-9.064892
352,-5.865617,-11.54345,-6.989801,-4.917974
353,0.8020921,-11.00411,-4.167137,2.258637
354,10.90689,-9.489023,-1.992192,11.16727
355,20.83356,-7.331735,0.4053127,20.99155
356,27.16476,-4.990148,4.004244,30.28686
357,31.81894,-1.901293,10.38442,40.06683
358,39.38824,2.839357,18.53894,48.13299
359,47.16492,8.654591,26.77986,55.43608
360,54.451,13.70189,33.77919,61.47212
361,62.00101,18.0689,38.0884,67.06474
362,69.10617,21.6465,42.15061,70.85548
363,76.00538,24.25021,47.16978,73.71788
364,81.29851,26.85735,52.08704,76.15108
365,83.76901,29.57771,56.127,77.51975
366,84.52898,32.41523,60.64214,78.18322
367,83.59259,36.20768,66.63857,78.7103
368,81.82543,40.68311,73.20741,79.17424
369,79.85715,45.68607,79.31275,80.55967
370,78.56874,51.13045,84.56483,82.0033
371,76.77534,56.34444,88.05829,83.33949
372,75.04971,60.10571,90.14072,83.90385
373,72.61921,63.42411,91.34428,83.17474
374,69.64224,65.60119,92.00481,80.22224
375,65.31543,66.64438,91.25711,75.70016
