CL_f1,CL_f2,CL_f3,CD_f1,CD_f2,CD_f3
0,0,0,82,58,75
0,0,0,77,61,67
0,0,0,72,54,64
0,0,0,49,30,71
0,0,0,74,16,74
0,0,0,67,0,72
0,0,0,77,0,53
0,0,0,55,0,51
0,0,0,81,0,81
0,0,0,80,0,2
0,0,3,52,0,7
0,0,0,59,0,84
0,0,0,48,0,0
0,0,0,14,0,14
0,0,26,22,0,67
0,0,7,41,0,87
0,0,0,65,0,76
0,0,0,67,0,62
0,0,0,0,0,24
0,0,0,0,0,48
0,0,0,0,0,36
0,0,0,0,0,57
0,0,0,0,0,34
0,0,0,0,42,12
0,0,11,0,84,3
